Filter ID,Field_blank_corr_mass_mg
KHU0667,0.1654
KHU0668,0.1714
KHU0669,0.1786
KHU0670,0.1513
KHU0671,0.0648
KHU0672,0.3268
KHU0673,0.0398
KHU0674,0.031
KHU0675,0
KHU0676,0.2217
KHU0677,0.0841
KHU0678,0.23
KHU0679,0.0887
KHU0680,0.1168
KHU0681,0.2546
KHU0682,0.0524
KHU0683,0.3401
KHU0684,0.1049
KHU0685,0.124
KHU0686,0.0369
KHU0687,0.1604
KHU0688,0.1373
KHU0689,0.6116
KHU0690,0.0802
KHU0691,0.0931
KHU0692,0.1496
KHU0693,0.0839
KHU0694,0.1639
KHU0695,0.0242
KHU0696,0.0588
KHU0697,0.0587
KHU0698,0.0637
KHU0699,0.0793
KHU0700,0.0613
KHU0702,0.0291
KHU0703,0.3315
KHU0704,0.1291
KHU0705,0.0569
KHU0706,0.0457
KHU0707,0.1325
KHU0708,0.0276
KHU0709,0.0703
KHU0710,0.0782
KHU0711,0.0268
KHU0712,0.1198
KHU0713,0.0405
KHU0714,0.1397
KHU0715,0.0536
KHU0721,0.0553
KHU0722,0.0191
KHU0723,0.2335
KHU0724,0.0884
KHU0725,0.5322
KHU0726,0.3407
KHU0727,0.1693
KHU0729,0.0771
KHU0730,0.118
